dataset_code,lake,date_time,reference benchmark,surveying benchmark,lake level(masl),comments
LIMNO_LAKE_LEVELS,Don Juan Pond,12/6/13 0:00,,DVDP pipe 200.00m,198.47,Hilary/Kyle
LIMNO_LAKE_LEVELS,Lake Vanda,12/6/13 0:00,,LVA 11 BM 96.503 m,94.16,Hilary/Luke
LIMNO_LAKE_LEVELS,Lake Vida,12/6/13 0:00,,LVI 10 355.322m,350.09,Hilary/Luke
LIMNO_LAKE_LEVELS,Don Juan Pond,1/13/14 0:00,,DVDP pipe 200.00m,198.55,stream team
LIMNO_LAKE_LEVELS,Lake Bonney,1/22/14 0:00,BMT20,medved1,65.81,Peter
LIMNO_LAKE_LEVELS,Lake Hoare,1/22/14 0:00,BMT13,LH 11,75.16,Peter
LIMNO_LAKE_LEVELS,Lake Fryxell,1/23/14 0:00,BMT9,LF 11,18.5,Stream Team
LIMNO_LAKE_LEVELS,Lake Hoare,1/30/14 0:00,BMT13,LH 11,75.19,Stream team
LIMNO_LAKE_LEVELS,Lake Miers,1/30/14 0:00,BMT 26,BMT 26,158.7,Stream Team
LIMNO_LAKE_LEVELS,Lake Bonney,1/31/14 0:00,BMT20,medved1,65.8,stream team
LIMNO_LAKE_LEVELS,Lake Vanda,1/31/14 0:00,,LVA 11 BM 96.503 m,94.66,stream team
LIMNO_LAKE_LEVELS,Lake Vida,1/31/14 0:00,,LVI 10 355.322m,349.88,stream team
LIMNO_LAKE_LEVELS,Lake Fryxell,11/4/14 0:00,BMT9,LF 11,18.35,Kyle/Dimitri
LIMNO_LAKE_LEVELS,Lake Hoare,11/4/14 0:00,BMT13,LH 11,75.07,Maciek/Ben
LIMNO_LAKE_LEVELS,Lake Miers,11/9/14 0:00,BMT 26,BMT 26,158.86,Kyle/Dimitri
LIMNO_LAKE_LEVELS,Lake Bonney,11/15/14 0:00,BMT20,medved1,65.64,Dimitri/Ben
LIMNO_LAKE_LEVELS,Lake Vanda,12/9/14 0:00,,LVA 11 BM 96.503m,94.47,Kyle/Heather
LIMNO_LAKE_LEVELS,Lake Vida,12/9/14 0:00,,LVI 10 355.322m,349.65,Krista/Dimitri
LIMNO_LAKE_LEVELS,Lake Hoare,1/29/15 0:00,BMT13,LH 11,75.16,Stream Team
LIMNO_LAKE_LEVELS,Lake Fryxell,10/27/15 0:00,BMT9,Fryxell Camp,18.3,Krista/Jade
LIMNO_LAKE_LEVELS,Lake Hoare,11/4/15 0:00,BMT13,LH 11,75.1,Maciek/Dimitri
LIMNO_LAKE_LEVELS,Lake Miers,11/10/15 0:00,BMT 26,BMT 26,158.52,Dimitri/Jade
LIMNO_LAKE_LEVELS,Lake Bonney,11/23/15 0:00,BMT20,medved1,65.65,Maciek/Dimitri
LIMNO_LAKE_LEVELS,Don Juan Pond,12/1/15 0:00,,DVDP pipe 200.00m,198.58,Maciek/Krista
LIMNO_LAKE_LEVELS,Lake Vanda,12/1/15 0:00,,VAN 0,94.35,Krista/Dimitri
LIMNO_LAKE_LEVELS,Lake Vida,12/1/15 0:00,,LVI 10 355.322m,349.65,Krista/Dimitri
LIMNO_LAKE_LEVELS,Lake Fryxell,1/15/16 0:00,BMT9,BMT9,18.42,Stream team
LIMNO_LAKE_LEVELS,Lake Bonney,1/25/16 0:00,BMT20,medved1,65.92,stream team
LIMNO_LAKE_LEVELS,Lake Hoare,1/26/16 0:00,BMT13,LH 11,75.29,Stream Team
LIMNO_LAKE_LEVELS,Don Juan Pond,1/27/16 0:00,,DVDP pipe 200.00m,198.39,Stream Team
LIMNO_LAKE_LEVELS,Lake Vanda,1/27/16 0:00,,VAN 0,95.08,Stream team
LIMNO_LAKE_LEVELS,Lake Vida,1/27/16 0:00,,LVI 10 355.322m,349.74,stream team 
LIMNO_LAKE_LEVELS,Lake Miers,1/28/16 0:00,BMT 26,BMT 26,158.7,Stream Team
LIMNO_LAKE_LEVELS,Lake Hoare,10/13/16 0:00,BMT13,LH 11,75.22,Krista/Jade/Luke/Tony
LIMNO_LAKE_LEVELS,Lake Miers,11/7/16 0:00,BMT 26,BMT 26,158.6,Jade/Luke
LIMNO_LAKE_LEVELS,Lake Fryxell,11/8/16 0:00,BMT9,Fryxell Camp,18.46,Jade/Luke
LIMNO_LAKE_LEVELS,Lake Bonney,11/17/16 0:00,BMT20,medved1,65.75,Jade/Josh
LIMNO_LAKE_LEVELS,Don Juan Pond,12/7/16 0:00,,DJP0,198.43,Jade/Josh
LIMNO_LAKE_LEVELS,Lake Vanda,12/7/16 0:00,,VAN 0,94.94,Jade/Josh
LIMNO_LAKE_LEVELS,Lake Vida,12/10/16 0:00,,LVI 10 355.322m,349.63,KM/JL
LIMNO_LAKE_LEVELS,Lake Hoare,1/29/17 0:00,BMT13,LH 11,75.23,Stream team
LIMNO_LAKE_LEVELS,Lake Bonney,2/2/17 0:00,BMT20,medved1,65.94,Stream team
LIMNO_LAKE_LEVELS,Lake Vanda,2/2/17 0:00,,VAN 0,95.18,Stream team
LIMNO_LAKE_LEVELS,Lake Vida,2/2/17 0:00,,LVI 10 355.322m,349.73,Stream team
LIMNO_LAKE_LEVELS,Lake Fryxell,2/3/17 0:00,BMT9,LF 11,18.47,Stream team
LIMNO_LAKE_LEVELS,Lake Miers,2/6/17 0:00,BMT 26,BMT 26,158.68,Stream team
LIMNO_LAKE_LEVELS,Lake Miers,11/16/17 0:00,BMT 26,BMT 26,158.59,MM/JM
LIMNO_LAKE_LEVELS,Lake Bonney,11/19/17 0:00,BMT20,medved1,65.8,KM/MM
LIMNO_LAKE_LEVELS,Lake Hoare,11/29/17 0:00,BMT13,LH 11,75.12,MM/JM
LIMNO_LAKE_LEVELS,Lake Fryxell,12/6/17 0:00,BMT9,Fryxell Camp,18.37,KM/JM
LIMNO_LAKE_LEVELS,Don Juan Pond,12/18/17 0:00,,DJP0,197.68,Krista/Maddie/James
LIMNO_LAKE_LEVELS,Lake Vanda,12/18/17 0:00,,VAN 0,95.01,Maddie/James
LIMNO_LAKE_LEVELS,Lake Vida,12/18/17 0:00,,LVI 10 355.322m,349.62,MM/JM
LIMNO_LAKE_LEVELS,Lake Miers,1/19/18 0:00,BMT 26,BMT 26,158.67,Stream team
LIMNO_LAKE_LEVELS,Lake Fryxell,1/23/18 0:00,BMT9,Fryxell Camp,18.4,Stream team
LIMNO_LAKE_LEVELS,Lake Bonney,1/27/18 0:00,BMT20,medved1,65.85,Stream team
LIMNO_LAKE_LEVELS,Lake Hoare,1/28/18 0:00,BMT13,LH 11,75.19,Stream team
LIMNO_LAKE_LEVELS,Don Juan Pond,1/29/18 0:00,,DJP0,197.64,Stream team
LIMNO_LAKE_LEVELS,Lake Vanda,1/29/18 0:00,,VAN 0,95.08,Stream team
LIMNO_LAKE_LEVELS,Lake Vida,1/29/18 0:00,,LVI 10 355.322m,349.64,Stream team
LIMNO_LAKE_LEVELS,Lake Fryxell,11/22/18 0:00,BMT9,Fryxell Camp (resurveyed 2021),18.34,KM/MS
