Dataset, Plane_Height,Elevation_masl,Depth (0 = bottom of the lake), Area_2D, Volume,VolumeLayer,lake
,,61.83,38.7,1019905.011,20121924.37,101377.6,WLB
,,61.93,38.8,1022904.449,20223301.95,101377.6,WLB
,,62.03,38.9,1025903.888,20324679.53,101377.6,WLB
,,62.13,39,1028903.327,20426057.11,101377.6,WLB
,,62.23,39.1,1032117.89,20530535.48,104478.4,WLB
,,62.33,39.2,1035332.452,20635013.85,104478.4,WLB
,,62.43,39.3,1038547.015,20739492.22,104478.4,WLB
,,62.53,39.4,1041761.578,20843970.59,104478.4,WLB
,,62.63,39.5,1044976.141,20948448.96,104478.4,WLB
,,62.73,39.6,1048190.703,21052927.32,104478.4,WLB
,,62.83,39.7,1051405.266,21157405.69,104478.4,WLB
,,62.93,39.8,1054619.829,21261884.06,104478.4,WLB
,,63.03,39.9,1057834.391,21366362.43,104478.4,WLB
,,63.13,40,1061048.954,21470840.8,104478.4,WLB
,,63.23,40.1,1065144.422,21578785.48,107944.7,WLB
,,63.33,40.2,1069239.89,21686730.17,107944.7,WLB
,,63.43,40.3,1073335.358,21794674.85,107944.7,WLB
,,63.53,40.4,1077430.826,21902619.53,107944.7,WLB
,,63.63,40.5,1081526.294,22010564.22,107944.7,WLB
,,63.73,40.6,1085621.762,22118508.9,107944.7,WLB
,,63.83,40.7,1089717.23,22226453.58,107944.7,WLB
,,63.93,40.8,1093812.698,22334398.26,107944.7,WLB
,,64.03,40.9,1097908.166,22442342.95,107944.7,WLB
,,64.13,41,1102003.634,22550287.63,107944.7,WLB
,,64.23,41.1,1108822.312,22663054.91,112767.3,WLB
,,64.33,41.2,1115640.99,22775822.2,112767.3,WLB
,,64.43,41.3,1122459.668,22888589.48,112767.3,WLB
,,64.53,41.4,1129278.347,23001356.77,112767.3,WLB
,,64.63,41.5,1136097.025,23114124.05,112767.3,WLB
,,64.73,41.6,1142915.703,23226891.33,112767.3,WLB
,,64.83,41.7,1149734.381,23339658.62,112767.3,WLB
