location_name,date_time,ice.approx,ice.vol,heat_J,heatIce_J,Area_2D,vol,cum_vol,LL,tempV,tempUse,heatTot_J_m2,heatLake_J_m3,heatIce_J_m3,dec.date,yday
West Lake Bonney,1995-10-18,3.549731420161884,3541956.9804300005,287811494040763.94,1064712268317258.1,1035332.452,17145311.3585928,17145311.3585928,62.3,0.2992943266592922,-0.7901796875,-750387735.6260965,16786600.605915505,300600000,1995.7945205479452,291
West Lake Bonney,1996-11-06,3.6021412803532007,3635218.8156800005,281232400136920.94,1092746775993408.1,1035332.452,17052049.5233428,17052049.5233428,62.3,0.29357969608691964,-0.907637048192771,-783820090.1448101,16492586.404463451,300600000,1996.8469945355191,311
West Lake Bonney,1996-11-25,3.6047277409860192,3635218.8156800005,285899134422609.3,1092746775993408.1,1035332.452,17052049.5233428,17052049.5233428,62.3,0.40270068964499234,-0.8458263473053892,-779312615.9739063,16766262.26256485,300600000,1996.8989071038252,330
West Lake Bonney,1997-11-10,3.7225675675675673,3728218.3727400005,270551997500926.38,1120702442845644.1,1035332.452,16959049.9662828,16959049.9662828,62.3,0.19776646290850544,-0.8760501543209877,-821137639.1249423,15953251.982795343,300600000,1997.8575342465754,314
West Lake Bonney,1997-12-03,3.6967499999999998,3635218.8156800005,275581974901564.25,1092746775993408.1,1035332.452,17048976.6261174,17052049.5233428,62.3,0.25439599009406905,-0.9601357566765578,-789277685.1660435,16161222.996937469,300600000,1997.9205479452055,337
West Lake Bonney,1997-12-07,3.5980676470588233,3541956.9804300005,277085007653586.9,1064712268317258.1,1035332.452,17142238.461367402,17145311.3585928,62.3,0.2521349247237832,-0.9666989644970414,-760748162.7202691,16160978.465679415,300600000,1997.9315068493152,341
West Lake Bonney,1997-12-23,3.61515,3635218.8156800005,282322102922317.25,1092746775993408.1,1035332.452,17048976.6261174,17052049.5233428,62.3,0.3263937367027792,-0.9178390207715134,-782767575.2900006,16556490.909543889,300600000,1997.9753424657533,357
West Lake Bonney,1998-11-12,3.9568312757201647,3890848.7848600005,265645523764354.44,1169589144728916,1028903.327,16589674.5199628,16589674.5199628,62.108333333333334,0.0873177012835591,-1.051376524390244,-878550586.0887953,16012702.566569107,300599999.99999994,1998.86301369863,316
West Lake Bonney,1998-12-10,3.8746879174256224,3798898.3405700005,274453147022009.78,1141948841175342,1028903.327,16681624.964252802,16681624.964252802,62.1241935483871,0.17762704957898015,-0.9750731707317073,-843126532.2882295,16452422.80713886,300599999.99999994,1998.9397260273972,344
West Lake Bonney,1999-11-12,3.9157131147540984,3890848.7848600005,258954948668049.78,1169589144728916,1028903.327,16589674.5199628,16589674.5199628,62.1,0.12620265904418146,-0.9419259259259259,-885053213.6153412,15609405.016140753,300599999.99999994,1999.86301369863,316
West Lake Bonney,1999-12-31,3.92175,3890848.7848600005,265161761993093.03,1169589144728916,1028903.327,16589674.5199628,16589674.5199628,62.1,0.2288782542568353,-0.8646682098765432,-879020758.3183595,15983542.152922697,300599999.99999994,1999.9972602739726,365
West Lake Bonney,2000-10-31,3.959875,3868498.14439,261441405082106.88,1162870542203634,1022904.449,16406544.4389328,16406544.4389328,61.918412698412695,0.017023067404382173,-1.025103125,-881244712.5464865,15935190.134353051,300600000,2000.8306010928961,305
