location_name,date_time,ice.approx,ice.vol,Area_2D,vol,cum_vol,LL,tempV,tempUse
Lake Fryxell,2015-11-08,4.165027397260275,27372349.7823,7457364.937,31259295.316280022,33986249.121816434,18.315,1.7998861204217367,2.1376153846153847
Lake Fryxell,2015-12-07,4.175753424657534,28122211.9143,7498621.32,31259295.316280022,33986249.121816434,18.35125,1.8913868790656727,2.1993675213675212
Lake Fryxell,2016-11-06,4.64171052631579,30539472.992099997,7541434.912,29596177.729680024,32323131.535216436,18.4993288590604,1.8279630554718915,2.1546666666666665
Lake Fryxell,2016-12-11,4.545,29988105.845599998,7541434.912,30147544.876180023,32874498.681716435,18.5,1.8103354318769351,2.148978260869565
Lake Fryxell,2017-11-08,5.03,32493634.345099997,7498621.32,26887872.885480016,29614826.691016436,18.409150326797384,1.7926283657583528,2.0908440366972476
Lake Fryxell,2017-12-07,4.86,31420657.368999995,7498621.32,27960849.86158002,30687803.667116437,18.4,1.7979667650897637,2.10602027027027
Lake Fryxell,2018-11-09,5.076875,32273856.7182,7457364.937,26357788.38038002,29084742.185916435,18.304290429042904,1.616589509779282,1.9342108796296296
Lake Fryxell,2018-12-08,4.95,31743772.213099997,7457364.937,26887872.885480016,29614826.691016436,18.323529411764707,1.6618115121125399,1.964573394495413
Lake Fryxell,2019-12-07,4.71,30670795.236999996,7457364.937,27960849.86158002,30687803.667116437,18.3,1.4850705484533957,1.839436936936937
Lake Fryxell,2021-12-20,4.237848837209302,27738363.7287,7416593.411,30147544.876180023,32874498.681716435,18.235185185185184,1.7408260024738633,2.000717391304348
Lake Fryxell,2022-11-10,3.538,23793670.113100003,7416593.411,34092238.49178001,36819192.29731644,18.2,1.711150226090088,2.012766393442623
Lake Fryxell,2022-12-09,3.35,22638195.191700004,7416593.411,35247713.413179986,37974667.218716435,18.2,1.7207036606681574,2.0595201612903224
Lake Fryxell,2023-11-05,3.416,23052010.771999996,7376737.309,34092238.49178001,36819192.29731644,18.1,1.9529495453534906,2.311610655737705
Lake Fryxell,2023-11-13,3.44,23052010.771999996,7376737.309,34092238.49178001,36819192.29731644,18.1,1.9712423552662717,2.327241803278689
Lake Hoare,1995-11-07,4.062247706422018,7626431.0338,2213550.867,17000838.366580006,17372095.381748397,74,0.2960826437751616,0.26129318181818184
Lake Hoare,1995-11-23,4.074724770642201,7626431.0338,2213550.867,17372095.3817484,17372095.381748397,74,0.309214509794774,0.2690232558139535
Lake Hoare,1995-12-25,4.099678899082568,7626431.0338,2213550.867,17000838.366580006,17372095.381748397,74,0.3428627029839219,0.2871522727272727
Lake Hoare,1996-11-07,4.347660550458715,8067861.064100001,2181197.115,16338053.249580003,16709310.264748394,73.91059190031153,0.24847088674734497,0.22305092592592593
Lake Hoare,1996-12-04,4.216622340425532,7903460.737000001,2181197.115,16502453.576680003,16873710.591848396,73.90218068535826,0.2824282992012561,0.2425668202764977
Lake Hoare,1997-12-27,4.46619937694704,8231289.429400001,2181197.115,16545881.8994484,16545881.899448395,73.9,0.23451842053718078,0.20734859154929577
Lake Hoare,1998-11-04,4.843703703703704,8873255.704,2181197.115,15903915.624848397,15903915.624848396,73.9,0.10856769330942433,0.11511744966442954
Lake Hoare,1998-12-02,4.803732394366198,8873255.704,2181197.115,15903915.624848397,15903915.624848396,73.9,0.12801162477168776,0.13209352517985612
Lake Hoare,1998-12-27,4.784894366197183,8714739.7994,2181197.115,16062431.529448397,16062431.529448396,73.9,0.15813156955825597,0.15941843971631203
Lake Hoare,2000-11-12,4.725788732394366,8598300.9684,2098164.769,15746821.736548401,15746821.736548396,73.71035598705502,0.20218214914232313,0.18560882352941177
Lake Hoare,2000-12-09,4.747084507042254,8598300.9684,2098164.769,15746821.736548401,15746821.736548396,73.69694444444444,0.2448071925859769,0.21608241758241759
Lake Hoare,2001-11-03,5.032857142857144,9003008.4111,2061061.132,15132297.816948397,15132297.816948395,73.60555555555555,0.18148339242401246,0.17186931818181816
Lake Hoare,2001-11-30,5.39052027027027,9449724.2245,2061061.132,14685582.003548399,14685582.003548395,73.6,0.23175243234171503,0.2129879518072289
Lake Hoare,2001-12-22,5.291966216216216,9576984.515000002,2139289.124,14982067.102348398,14982067.102348395,73.775,0.26384916494662725,0.24524528301886792
Lake Hoare,2002-11-06,3.8629324324324323,7344344.482,2236083.63,17877790.296548404,17877790.2965484,74.09919571045576,0.329357728644213,0.30031564245810055
Lake Hoare,2003-11-11,3.7709890109890107,7120736.119,2213550.867,17877790.296548404,17877790.2965484,74,0.3567565019575888,0.3361828571428571
